ID,Lane,Title,Workstream,DRI,Deputy,Priority,RAG,ImpactHypothesis,DueIST,Dependencies,DefinitionOfDone,ControlGateNeeded,ControlGate,RollbackPlan,Status,LastUpdatedIST
CRD-001,Now,Freeze 9+/10 quality scorecard + metric owners,Program Command,PD,PMO,P0,Amber,Prevents execution drift and inconsistent quality claims,2026-02-15 13:00,,Scorecard doc versioned with owner per metric and acceptance thresholds,Y,Risk/SRE/N/A,Revert to prior scorecard v1 if conflict,In Progress,2026-02-15 11:40
CRD-002,Now,Website narrative and hierarchy rebuild v2,Product Funnel & UX,UX Lead,Frontend Lead,P0,Amber,Website score lift from 4.2 to >=6.8 in 24h,2026-02-15 16:00,CRD-001,Hero+proof+flow+cta architecture shipped and responsive QA pass,Y,Product/Brand,Feature-flag old landing fallback,Queued,2026-02-15 11:40
CRD-003,Now,Wallet golden flow friction pass (auth->claim->share->prove),Product Funnel & UX,Wallet Lead,QA Lead,P0,Amber,Wallet UX lift from 4.8 to >=6.5 in 24h,2026-02-15 17:00,CRD-001,No dead-end states and actionable error recovery in all primary steps,Y,QA/SRE,Rollback to previous route handlers/UI state,Queued,2026-02-15 11:40
CRD-004,Now,Recruiter decision clarity + reason-code UX revamp,Product Funnel & UX,Recruiter Lead,Content Lead,P0,Amber,Verification clarity uplift to reduce manual review confusion,2026-02-15 17:00,CRD-001,Result page explains pass/fail/review with next action and reason mapping,Y,Compliance,Retain old renderer behind feature switch,Queued,2026-02-15 11:40
CRD-005,Now,Issuer issuance form constraints and schema guidance,Product Funnel & UX,Issuer Lead,Backend Lead,P0,Amber,Issuance error-rate reduction and faster template setup,2026-02-15 18:00,CRD-001,Validation, helper text, and error messages aligned with VC schema requirements,Y,Compliance,Rollback form constraints config,Queued,2026-02-15 11:40
CRD-006,Now,Conformance + ZK correctness gates merge-blocking on latest head,Policy/Compliance/Fairness,QA Lead,Security Lead,P0,Red,Prevents protocol/security regressions from shipping,2026-02-15 18:30,CRD-001,CI fails on DID/VC or proof-vector mismatch and evidence archived,Y,Risk/Compliance,Revert gate rule if false-positive bug,Queued,2026-02-15 11:40
CRD-007,Now,Telemetry baseline dashboard for core funnel + guardrails,Experimentation & Analytics,Data Lead,SRE Lead,P0,Amber,Enables evidence-based optimization and faster incident detection,2026-02-15 19:00,CRD-001,Dashboard with conversion, error taxonomy, p95 latency and alert thresholds,Y,SRE,Keep prior dashboard while validating new queries,Queued,2026-02-15 11:40
CRD-008,Now,Refresh release board and CI evidence on latest SHA,Evidence Cell,Release Lead,QA Lead,P0,Amber,Restores trustworthy GO/NO-GO visibility,2026-02-15 19:30,CRD-006,Release board updated with current runs/log artifacts and blocker ledger,Y,Release,Revert docs commit if evidence mismatch detected,Queued,2026-02-15 11:40
CRD-009,Next,Secrets manager/OIDC production wiring,Platform/SRE,SRE Lead,Security Lead,P0,Red,Unlocks true production deployment readiness,Needs user access,CRD-008,Staging+prod runtime secrets pulled via manager and CI OIDC configured,Y,Security,Rollback to existing secret injection path,Blocked,2026-02-15 11:40
CRD-010,Next,Permanent hosting/domain cutover + rollback rehearsal,Platform/SRE,Release Lead,SRE Lead,P0,Red,Converts temporary demos into stable production surface,Needs user access,CRD-008/CRD-009,Stable domain live, TLS valid, rollback proven,Y,Release/SRE,Blue-green switchback plan validated,Blocked,2026-02-15 11:40
CRD-011,This Week,Lint debt burn-down for touched surfaces,Platform/SRE,Eng Lead,QA Lead,P1,Amber,Raises maintainability and CI confidence,2026-02-17 20:00,CRD-002/003/004/005,Lint passes for priority services and ruleset exceptions documented,N,,Revert contentious stylistic changes,Queued,2026-02-15 11:40
CRD-012,This Week,Operational drill pack (restore + incident + canary),Ops Enablement,Ops Lead,SRE Lead,P1,Amber,Improves recoverability confidence to 9+/10 standard,2026-02-18 20:00,CRD-009/010,At least one restore drill and one incident tabletop executed with evidence,Y,SRE/Release,Use rehearsal environment only,Queued,2026-02-15 11:40
