Requirement,Status
"user-onboarding-authentication::sign-up-methods",NOT_STARTED
"user-onboarding-authentication::email-otp-verification",NOT_STARTED
"user-onboarding-authentication::phone-sms-verification",NOT_STARTED
"user-onboarding-authentication::google-oauth",NOT_STARTED
"user-onboarding-authentication::apple-sign-in",NOT_STARTED
"user-onboarding-authentication::profile-creation-name-photo-optional",NOT_STARTED
"user-onboarding-authentication::biometric-authentication-setup-face-id-touch-id-fingerprint",NOT_STARTED
"user-onboarding-authentication::pin-fallback-6-digit",NOT_STARTED
"user-onboarding-authentication::session-management-30-day-expiry",NOT_STARTED
"identity-verification-complete-flow::real-time-face-detection",NOT_STARTED
"identity-verification-complete-flow::challenge-response-smile-turn-head",NOT_STARTED
"identity-verification-complete-flow::anti-spoofing-detect-masks-photos-screens",NOT_STARTED
"identity-verification-complete-flow::30-second-duration",NOT_STARTED
"identity-verification-complete-flow::auto-capture-when-positioned-correctly",NOT_STARTED
"identity-verification-complete-flow::support-aadhaar-pan-passport-driver-s-license",NOT_STARTED
"identity-verification-complete-flow::camera-overlay-with-document-guide",NOT_STARTED
"identity-verification-complete-flow::auto-detect-document-edges",NOT_STARTED
"identity-verification-complete-flow::quality-checks-glare-blur-completeness",NOT_STARTED
"identity-verification-complete-flow::manual-capture-fallback",NOT_STARTED
"identity-verification-complete-flow::ocr-extract-text-from-document",NOT_STARTED
"identity-verification-complete-flow::format-validation-check-document-structure",NOT_STARTED
"identity-verification-complete-flow::authenticity-checks-holograms-security-features",NOT_STARTED
"identity-verification-complete-flow::face-matching-id-photo-vs-liveness",NOT_STARTED
"identity-verification-complete-flow::database-verification-if-available",NOT_STARTED
"identity-verification-complete-flow::oauth-flow-to-digilocker",NOT_STARTED
"identity-verification-complete-flow::document-selection-interface",NOT_STARTED
"identity-verification-complete-flow::bulk-import-multiple-documents",NOT_STARTED
"identity-verification-complete-flow::real-time-status-updates",NOT_STARTED
"identity-verification-complete-flow::error-handling-and-retry",NOT_STARTED
"reputation-rail-cross-platform-trust::oauth-2-0-consent-flow-for-platform-connections",NOT_STARTED
"reputation-rail-cross-platform-trust::api-for-platforms-to-read-write-reputation-events",NOT_STARTED
"reputation-rail-cross-platform-trust::selective-disclosure-user-chooses-what-to-share",NOT_STARTED
"reputation-rail-cross-platform-trust::real-time-sync-across-connected-platforms",NOT_STARTED
"reputation-rail-cross-platform-trust::transport-uber-ola-rider-rating-weight-15",NOT_STARTED
"reputation-rail-cross-platform-trust::accommodation-airbnb-guest-reviews-weight-15",NOT_STARTED
"reputation-rail-cross-platform-trust::delivery-swiggy-zomato-order-behavior-weight-10",NOT_STARTED
"reputation-rail-cross-platform-trust::employment-linkedin-recommendations-weight-20",NOT_STARTED
"reputation-rail-cross-platform-trust::finance-credit-score-proxy-weight-15",NOT_STARTED
"reputation-rail-cross-platform-trust::social-dating-app-reported-behavior-weight-10",NOT_STARTED
"reputation-rail-cross-platform-trust::identity-document-verification-completeness-weight-15",NOT_STARTED
"reputation-rail-cross-platform-trust::only-verified-platforms-can-write-api-key-domain-verification",NOT_STARTED
"reputation-rail-cross-platform-trust::blockchain-anchoring-of-all-reputation-events",NOT_STARTED
"reputation-rail-cross-platform-trust::ml-fraud-detection-for-suspicious-patterns",NOT_STARTED
"reputation-rail-cross-platform-trust::dispute-resolution-for-incorrect-reports",NOT_STARTED
"reputation-rail-cross-platform-trust::decay-function-old-events-have-less-weight",NOT_STARTED
"safedate-score-dating-safety-layer::identity-verified-0-25-points",NOT_STARTED
"safedate-score-dating-safety-layer::liveness-check-passed-0-15-points",NOT_STARTED
"safedate-score-dating-safety-layer::background-check-clean-0-20-points",NOT_STARTED
"safedate-score-dating-safety-layer::cross-platform-reputation-0-20-points",NOT_STARTED
"safedate-score-dating-safety-layer::social-validation-linkedin-etc-0-10-points",NOT_STARTED
"safedate-score-dating-safety-layer::behavioral-signals-no-harassment-reports-0-10-points",NOT_STARTED
"safedate-score-dating-safety-layer::see-safedate-scores-before-matching",NOT_STARTED
"safedate-score-dating-safety-layer::background-check-summaries",NOT_STARTED
"safedate-score-dating-safety-layer::harassment-report-history-aggregated",NOT_STARTED
"safedate-score-dating-safety-layer::identity-verification-timestamps",NOT_STARTED
"safedate-score-dating-safety-layer::in-app-reporting-of-bad-behavior",NOT_STARTED
"safedate-score-dating-safety-layer::cross-platform-ban-propagation-optional",NOT_STARTED
"safedate-score-dating-safety-layer::video-call-verification-before-first-meeting",NOT_STARTED
"safedate-score-dating-safety-layer::meeting-safety-tips-based-on-safedate-score",NOT_STARTED
"gig-economy-onboarding-acceleration::aggregated-ratings-from-all-platforms",NOT_STARTED
"gig-economy-onboarding-acceleration::background-verification-one-time",NOT_STARTED
"gig-economy-onboarding-acceleration::right-to-work-documents",NOT_STARTED
"gig-economy-onboarding-acceleration::vehicle-verification-for-delivery",NOT_STARTED
"gig-economy-onboarding-acceleration::bank-account-verification",NOT_STARTED
"gig-economy-onboarding-acceleration::platform-checks-credity-verification-status",NOT_STARTED
"gig-economy-onboarding-acceleration::if-verified-score-70-auto-approve-in-5-minutes",NOT_STARTED
"gig-economy-onboarding-acceleration::if-not-verified-standard-flow",NOT_STARTED
"gig-economy-onboarding-acceleration::platform-saves-50-100-per-onboarding",NOT_STARTED
"workscore-comprehensive-employment-verification::verified-badge-on-all-platforms-naukri-linkedin-indeed",NOT_STARTED
"workscore-comprehensive-employment-verification::cross-platform-reputation-visible-to-employers",NOT_STARTED
"workscore-comprehensive-employment-verification::priority-ranking-in-search-results-3x-more-profile-views",NOT_STARTED
"workscore-comprehensive-employment-verification::skills-verification-reports",NOT_STARTED
"workscore-comprehensive-employment-verification::background-check-report-pdf-shareable",NOT_STARTED
"workscore-comprehensive-employment-verification::one-click-application-with-verified-credentials",NOT_STARTED
"workscore-comprehensive-employment-verification::50-workscore-checks-month",NOT_STARTED
"workscore-comprehensive-employment-verification::instant-candidate-verification-5-mins-vs-7-14-days",NOT_STARTED
"workscore-comprehensive-employment-verification::background-check-reports",NOT_STARTED
"workscore-comprehensive-employment-verification::skills-assessment-integration",NOT_STARTED
"workscore-comprehensive-employment-verification::unlimited-workscore-checks",NOT_STARTED
"workscore-comprehensive-employment-verification::ats-integration-darwinbox-keka-greythr",NOT_STARTED
"workscore-comprehensive-employment-verification::custom-verification-workflows",NOT_STARTED
"workscore-comprehensive-employment-verification::bulk-verification-apis",NOT_STARTED
"workscore-comprehensive-employment-verification::fraud-detection-alerts",NOT_STARTED
"workscore-comprehensive-employment-verification::dedicated-account-manager",NOT_STARTED
"workscore-comprehensive-employment-verification::api-access-to-workscore",NOT_STARTED
"workscore-comprehensive-employment-verification::verified-by-credity-badge-for-profiles",NOT_STARTED
"workscore-comprehensive-employment-verification::10-15-per-verification-platforms-can-markup-to-20-30",NOT_STARTED
"workscore-comprehensive-employment-verification::premium-tier-verified-candidates-only-subscription-upsell",NOT_STARTED
"workscore-comprehensive-employment-verification::reduced-fake-profiles-higher-recruiter-satisfaction",NOT_STARTED
"tenantscore-rental-housing-verification::landlords-lose-30-50k-due-to-bad-tenants-payment-defaults-property-damage",NOT_STARTED
"tenantscore-rental-housing-verification::tenants-face-discrimination-need-to-reverify-for-every-property",NOT_STARTED
"tenantscore-rental-housing-verification::40-of-rental-disputes-payment-or-property-issues",NOT_STARTED
"tenantscore-rental-housing-verification::past-landlord-ratings-60-weight",NOT_STARTED
"tenantscore-rental-housing-verification::payment-reliability-from-work-banking-20-weight",NOT_STARTED
"tenantscore-rental-housing-verification::property-care-reputation-10-weight",NOT_STARTED
"tenantscore-rental-housing-verification::dispute-resolution-history-10-weight",NOT_STARTED
"tenantscore-rental-housing-verification::landlords-pay-299-comprehensive-tenant-check",NOT_STARTED
"tenantscore-rental-housing-verification::tenants-pay-99-year-for-trusted-tenant-premium-profile",NOT_STARTED
"tenantscore-rental-housing-verification::platforms-nobroker-housing-com-pay-50k-1l-year-api-access",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::60-of-online-consultations-unverified-doctors",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::patients-can-t-verify-doctor-credentials-fake-mci-registrations",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::no-patient-compliance-tracking-for-doctors",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::doctorscore-0-100-mci-verification-hospital-affiliations-patient-satisfaction-bo",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::patientscore-treatment-adherence-appointment-reliability-payment-history",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::doctors-pay-2-999-year-for-verified-doctor-badge-4x-booking-increase",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::patients-149-month-premium-priority-booking-with-top-docs",NOT_STARTED
"healthscore-healthcare-telemedicine-trust::platforms-practo-1mg-1-2l-year-5-per-verification",NOT_STARTED
"tutorscore-education-marketplace-verification::60-of-online-tutors-have-fake-degrees",NOT_STARTED
"tutorscore-education-marketplace-verification::parents-can-t-verify-tutor-credentials",NOT_STARTED
"tutorscore-education-marketplace-verification::no-cross-platform-reputation-for-teaching-quality",NOT_STARTED
"tutorscore-education-marketplace-verification::degree-verification-teaching-certifications",NOT_STARTED
"tutorscore-education-marketplace-verification::student-outcome-data",NOT_STARTED
"tutorscore-education-marketplace-verification::parent-ratings-aggregated-across-platforms",NOT_STARTED
"tutorscore-education-marketplace-verification::tutors-pay-499-year-for-universal-verified-profile",NOT_STARTED
"tutorscore-education-marketplace-verification::parents-pay-99-month-for-safe-learning-background-verified-only",NOT_STARTED
"tutorscore-education-marketplace-verification::platforms-vedantu-unacademy-pay-75k-1-5l-year",NOT_STARTED
"homeworkerscore-domestic-services-verification::80-of-households-won-t-hire-without-personal-reference",NOT_STARTED
"homeworkerscore-domestic-services-verification::no-verification-system-theft-safety-incidents-common",NOT_STARTED
"homeworkerscore-domestic-services-verification::workers-lose-income-due-to-trust-deficit",NOT_STARTED
"homeworkerscore-domestic-services-verification::police-verification-aadhaar",NOT_STARTED
"homeworkerscore-domestic-services-verification::past-employer-ratings",NOT_STARTED
"homeworkerscore-domestic-services-verification::training-certifications",NOT_STARTED
"homeworkerscore-domestic-services-verification::theft-insurance",NOT_STARTED
"homeworkerscore-domestic-services-verification::workers-pay-599-year-for-verified-profile-6x-placement-increase",NOT_STARTED
"homeworkerscore-domestic-services-verification::employers-pay-199-comprehensive-background-check",NOT_STARTED
"homeworkerscore-domestic-services-verification::platforms-urbanclap-housejoy-pay-50k-1l-year",NOT_STARTED
"trustscore-for-lending-alternative-credit::190m-indians-have-no-credit-score-thin-file-no-file",NOT_STARTED
"trustscore-for-lending-alternative-credit::banks-reject-70-of-gig-worker-loan-applications",NOT_STARTED
"trustscore-for-lending-alternative-credit::credit-bureaus-can-t-see-gig-economy-reputation",NOT_STARTED
"trustscore-for-lending-alternative-credit::gig-platform-ratings-rental-payment-history",NOT_STARTED
"trustscore-for-lending-alternative-credit::employment-verification-social-reputation",NOT_STARTED
"trustscore-for-lending-alternative-credit::alternative-credit-model-for-credit-invisibles",NOT_STARTED
"trustscore-for-lending-alternative-credit::lenders-pay-50-100-per-trustscore-pull-like-cibil",NOT_STARTED
"trustscore-for-lending-alternative-credit::users-pay-299-year-for-credit-builder-subscription",NOT_STARTED
"trust-score-calculation::identity-verification-40-weight",NOT_STARTED
"trust-score-calculation::liveness-passed-20-points",NOT_STARTED
"trust-score-calculation::document-verified-15-points",NOT_STARTED
"trust-score-calculation::biometrics-matched-5-points",NOT_STARTED
"trust-score-calculation::activity-behavior-30-weight",NOT_STARTED
"trust-score-calculation::number-of-verifications-up-to-15-points",NOT_STARTED
"trust-score-calculation::platform-connections-up-to-10-points",NOT_STARTED
"trust-score-calculation::recency-of-activity-up-to-5-points",NOT_STARTED
"trust-score-calculation::reputation-trust-30-weight",NOT_STARTED
"trust-score-calculation::no-suspicious-activity-15-points",NOT_STARTED
"trust-score-calculation::platform-endorsements-up-to-10-points",NOT_STARTED
"trust-score-calculation::user-feedback-up-to-5-points",NOT_STARTED
"trust-score-calculation::0-100-scale",NOT_STARTED
"trust-score-calculation::status-labels-poor-50-fair-50-69-good-70-84-excellent-85-94-outstanding-95-100",NOT_STARTED
"trust-score-calculation::visual-ring-animation",NOT_STARTED
"trust-score-calculation::breakdown-by-component",NOT_STARTED
"trust-score-calculation::historical-trend-chart",NOT_STARTED
"trust-score-calculation::quick-wins-3-5-points",NOT_STARTED
"trust-score-calculation::long-term-actions-10-15-points",NOT_STARTED
"trust-score-calculation::timeframe-estimates",NOT_STARTED
"trust-score-calculation::progress-tracking",NOT_STARTED
"credential-management::verified-human-default-after-identity-verification",NOT_STARTED
"credential-management::age-18-from-dob-on-id",NOT_STARTED
"credential-management::location-country-state-from-id-or-gps",NOT_STARTED
"credential-management::government-id-aadhaar-pan-etc",NOT_STARTED
"credential-management::professional-linkedin-work-email",NOT_STARTED
"credential-management::custom-platform-specific",NOT_STARTED
"credential-management::card-based-layout",NOT_STARTED
"credential-management::status-indicators-active-expired-pending",NOT_STARTED
"credential-management::usage-count",NOT_STARTED
"credential-management::last-used-timestamp",NOT_STARTED
"credential-management::expiry-dates",NOT_STARTED
"credential-management::platform-connection-requests",NOT_STARTED
"credential-management::granular-permission-selection",NOT_STARTED
"credential-management::validity-period-1-month-1-year-forever",NOT_STARTED
"credential-management::biometric-confirmation-before-sharing",NOT_STARTED
"credential-management::shareable-qr-codes-5-minute-expiry",NOT_STARTED
"credential-management::revoke-individual-platform-access",NOT_STARTED
"credential-management::revoke-all-access-for-credential",NOT_STARTED
"credential-management::delete-credential-entirely",NOT_STARTED
"credential-management::confirmation-prompts",NOT_STARTED
"platform-connections::platform-sends-api-request-with-required-credentials",NOT_STARTED
"platform-connections::push-notification-to-user",NOT_STARTED
"platform-connections::in-app-approval-interface",NOT_STARTED
"platform-connections::biometric-confirmation",NOT_STARTED
"platform-connections::platform-receives-webhook-with-result",NOT_STARTED
"platform-connections::list-all-active-connections",NOT_STARTED
"platform-connections::last-access-timestamp",NOT_STARTED
"platform-connections::data-shared-with-each-platform",NOT_STARTED
"platform-connections::usage-history",NOT_STARTED
"platform-connections::disconnect-option",NOT_STARTED
"platform-connections::queue-of-unapproved-requests",NOT_STARTED
"platform-connections::approve-deny-actions",NOT_STARTED
"platform-connections::bulk-actions-approve-all-deny-all",NOT_STARTED
"platform-connections::request-expiry-24-hours",NOT_STARTED
"identity-verification-complete-flow::real-time-3d-face-mapping-with-depth-analysis",NOT_STARTED
"identity-verification-complete-flow::challenge-response-smile-turn-head-for-anti-spoofing",NOT_STARTED
"identity-verification-complete-flow::neural-network-powered-fraud-detection-masks-photos-screens",NOT_STARTED
"identity-verification-complete-flow::30-second-duration-with-haptic-feedback-and-visual-mesh-overlay",NOT_STARTED
"identity-verification-complete-flow::auto-capture-with-signature-generated-confirmation-animation",NOT_STARTED
